Sweep,SD,Value,PC
38,1,95.681,PC3
39,1,96.183,PC3
40,1,96.62,PC3
41,1,97.042,PC3
42,1,97.428,PC3
43,1,97.731,PC3
44,1,98.043,PC3
45,1,98.32,PC3
46,1,98.632,PC3
47,1,98.861,PC3
48,1,99.033,PC3
49,1,99.222,PC3
50,1,99.375,PC3
51,1,99.513,PC3
52,1,99.557,PC3
53,1,99.622,PC3
54,1,99.669,PC3
55,1,99.677,PC3
56,1,99.612,PC3
57,1,99.519,PC3
58,1,99.399,PC3
59,1,99.267,PC3
60,1,99.027,PC3
61,1,98.822,PC3
62,1,98.511,PC3
63,1,98.19,PC3
64,1,97.863,PC3
65,1,97.399,PC3
66,1,96.924,PC3
67,1,96.419,PC3
68,1,95.822,PC3
69,1,95.227,PC3
70,1,94.568,PC3
71,1,93.782,PC3
72,1,92.977,PC3
73,1,92.048,PC3
74,1,91.141,PC3
75,1,90.049,PC3
76,1,88.997,PC3
77,1,87.789,PC3
78,1,86.495,PC3
79,1,85.135,PC3
80,1,83.681,PC3
81,1,82.13,PC3
82,1,80.428,PC3
83,1,78.624,PC3
84,1,76.737,PC3
85,1,74.775,PC3
86,1,72.587,PC3
87,1,70.273,PC3
88,1,67.807,PC3
89,1,65.202,PC3
90,1,62.264,PC3
91,1,59.134,PC3
92,1,55.704,PC3
93,1,51.997,PC3
94,1,48.012,PC3
95,1,43.491,PC3
96,1,38.657,PC3
97,1,33.438,PC3
98,1,27.388,PC3
99,1,20.273,PC3
100,1,10.463,PC3
1,2,12.519,PC3
2,2,24.197,PC3
3,2,31.746,PC3
4,2,37.768,PC3
5,2,42.779,PC3
6,2,47.116,PC3
7,2,50.837,PC3
8,2,54.181,PC3
9,2,57.255,PC3
10,2,60.071,PC3
11,2,62.659,PC3
12,2,64.998,PC3
13,2,67.197,PC3
14,2,69.277,PC3
15,2,71.214,PC3
16,2,72.987,PC3
17,2,74.737,PC3
18,2,76.326,PC3
19,2,77.842,PC3
20,2,79.295,PC3
21,2,80.685,PC3
22,2,81.953,PC3
23,2,83.159,PC3
24,2,84.327,PC3
25,2,85.375,PC3
26,2,86.424,PC3
27,2,87.37,PC3
28,2,88.278,PC3
29,2,89.13,PC3
30,2,89.907,PC3
31,2,90.681,PC3
32,2,91.368,PC3
33,2,92.073,PC3
34,2,92.72,PC3
35,2,93.345,PC3
36,2,93.884,PC3
37,2,94.393,PC3
38,2,94.87,PC3
39,2,95.321,PC3
40,2,95.731,PC3
41,2,96.121,PC3
42,2,96.482,PC3
43,2,96.779,PC3
44,2,97.065,PC3
45,2,97.316,PC3
46,2,97.571,PC3
47,2,97.785,PC3
48,2,97.926,PC3
49,2,98.078,PC3
50,2,98.179,PC3
51,2,98.277,PC3
52,2,98.29,PC3
53,2,98.304,PC3
54,2,98.305,PC3
55,2,98.25,PC3
56,2,98.152,PC3
57,2,98.037,PC3
58,2,97.878,PC3
59,2,97.723,PC3
60,2,97.458,PC3
